topic summitPvalue summitPosition meanPvalue meanPosition
166 58.4740163830233 10 17.7972298839306 -17
10 8.02960302852879 10 1.68435739881616 28
0 2.20108012062941 130 0.46206389643503 157
146 1.50140542392539 10 0.150557953766247 15
4 1.41216764334136 -20 0.34248044927707 2
39 1.28519048528264 0 0.175800613236912 15
18 0.767313781358422 50 0.303417842863862 36
116 0.636140583932936 200 0.118109154886965 -23
124 0.510516101643231 -130 0.049806448940803 15
2 0.387750377518252 -10 0.0567439576855978 -18
